,exp_pos,exp_neg,ctrl_pos,ctrl_neg,gene,class
1,1266,960,271,1955,2,1
2,2308,1766,446,3628,3,1
3,2438,1803,483,3758,4,1
4,1595,1255,330,2520,6,1
5,2121,1633,454,3300,9,1
6,1393,1205,206,2392,1,2
7,1190,1036,200,2026,2,2
8,2283,1958,391,3850,4,2
9,1473,1377,225,2625,6,2
10,2066,1688,403,3351,9,2
