,exp_pos,exp_total,ctrl_pos,ctrl_total
Mettl3_1,9002,23018,1527,23035
Mettl3_2,11392,23038,2192,23045
Mettl3_3,15217,23048,5152,23052
Mettl3_4,13118,22627,2831,22866
Mettl3_5,10671,22768,1319,22774
Mettl3_6,16305,23241,254,22986
Mettl3_7,11144,22940,2259,22981
Mettl3_8,10152,22992,2029,23008
