,exp_pos,exp_neg,ctrl_pos,ctrl_neg
Mettl3_1,56890,79667,5753,132743
Mettl3_2,77746,60015,4246,135110
Mettl3_3,81147,57134,13737,125514
Mettl3_4,72268,52681,6446,123662
Mettl3_5,59552,64536,3055,121340
Mettl3_6,90423,45077,758,136151
Mettl3_7,64420,68928,6047,129163
Mettl3_8,64734,67310,5983,128064
