,exp_pos,exp_neg,ctrl_pos,ctrl_neg
Mettl3_1,9002,14016,1527,21508
Mettl3_2,11392,11646,2192,20853
Mettl3_3,15217,7831,5152,17900
Mettl3_4,13118,9509,2831,20035
Mettl3_5,10671,12097,1319,21455
Mettl3_6,16305,6936,254,22732
Mettl3_7,11144,11796,2259,20722
Mettl3_8,10152,12840,2029,20979
