,exp_pos,exp_neg,ctrl_pos,ctrl_neg
Mettl14_1,90772,45111,12382,126114
Mettl14_2,105065,33705,15859,123392
Mettl14_3,75694,52733,6822,123286
Mettl14_4,70779,63281,297,136181
Mettl14_5,90423,45077,736,136173
Mettl14_6,66923,65916,6001,129209
