,exp_pos,exp_neg,ctrl_pos,ctrl_neg
mettl3_1,9002,14016,10268,12556
mettl3_2,11392,11646,13306,9517
mettl3_3,15217,7831,13930,8900
mettl3_4,13118,9509,12209,10441
mettl3_5,10671,12097,13058,9528
mettl3_6,16035,6936,13893,8875
mettl3_7,11144,11796,12666,10095
mettl3_8,10152,12840,10102,12692
